GouldNumber,OriginalSubject,BaseFilename,FullFileName,Bird_1_GenusOnPiece,Bird_1_SpeciesOnPiece,Bird_1_CommonNameOnPiece,Bird_1_DateCreated,Bird_1_Medium,SubjectNote,Support,Artists-original,Artists,NamedArtists-original,NamedArtists,Book-ed,Book,Edition,Part,PlateNumber,SecondBook,SecondPart,SecondPlateNumber,PublicationNote,OriginalNoteworthyNote,OriginalNote,ArtistNote,GeneralNote,Size,ContentNote,PhysicalConditionNote,Bird_2_GenusOnPiece,Bird_2_SpeciesOnPiece,Bird_2_CommonNameOnPiece
2156,"Oreopyra cinereicauda, Ciconia alba",ksrl_sc_gould_2156,ksrl_sc_gould_2156.tif,Oreopyra,cinereicaudaCiconia alba,,1885,pencil and watercolor paint on paper,1) Oreopyra cinereicauda; 2) Ciconia alba,tissue,[?]/R,[?]/R,G;H/G;R,JG;H;R,HB_1,HB,1S,1,7,GB,4,30,,,"Drawings on tissue, 1) a later version of Gould 2155; see Notes to Gould 2155; 2) fine sketch of head of Stork, with colored bill.  See also Gould 2157.   It is intriguing that the drawing which was published in 1871 can be seen by the overlapping strokes to have been made before the drawing which was reworked and published in 1885.",,,,"Drawings on tissue, 1) a later version of Gould 2155; see Notes to Gould 2155; 2) fine sketch of head of Stork, with colored bill.  See also Gould 2157.   It is intriguing that the drawing which was published in 1871 can be seen by the overlapping strokes to have been made before the drawing which was reworked and published in 1885.",,Ciconia,alba,
2366,"Cinclosoma castanotus, C. punctatum (eggs)",ksrl_sc_gould_2366,ksrl_sc_gould_2366.tif,Cinclosoma,castanotus,,,,1. Cinclosoma castanotus.  2. C. punctatum  (eggs),,,,,,,,,,,,,,Unpublished,,"See general Notes at Gould 2296.  Uncolored litho print of 2 and 3 eggs, respectively, of the two species; printed title.  Previously cited as GCS O-71, and so marked in pencil on reverse.  Gift of Dr. Gordon C. Sauer.",,See General Notes at Gould 2296.,,"Uncolored litho print of 2 and 3 eggs, respectively, of the two species; printed title.  Previously cited as GCS O-71, and so marked in pencil on reverse.",,Cinclosoma,punctatum,
2357,"Climacteris [?], C. scandens (eggs)",ksrl_sc_gould_2357,ksrl_sc_gould_2357.tif,Climacteris,sp.,,,,1. Climacteris ??  2. C. scandens  (eggs),,,,,,,,,,,,,,Unpublished,,"See general Notes at Gould 2296.  Uncolored litho print of 4 eggs. Identical to Gould 2356.  A drawing in the Mitchell Library, Sydney, bears in pencil the binomial used for this print.  Previously cited as GCS O-62, and so marked in pencil on reverse.  Gift of Dr. Gordon C. Sauer.",,See General Notes at Gould 2296.,,"Uncolored litho print of 4 eggs. Identical to Gould 2395.  A drawing in the Mitchell Library, Sydney, bears in pencil the binomial used for this print.  Previously cited as GCS O-62, and so marked in pencil on reverse.",,Climacteris,sp.,
2356,"Climacteris [?], C. scandens",ksrl_sc_gould_2356,ksrl_sc_gould_2356.tif,Climacteris,sp.,,,,1. Climacteris ??  2. C. scandens,,,,,,,,,,,,,,Unpublished,,"See general Notes at Gould 2296.  Uncolored litho print of 4 eggs. Identical to Gould 2357.  A drawing in the Mitchell Library, Sydney, bears in pencil the binomial used for this print.  Previously cited as GCS O-61, and so marked in pencil on reverse.  Gift of Dr. Gordon C. Sauer.",,See General Notes at Gould 2296.,,"Uncolored litho print of 4 eggs. Identical to Gould 2357.  A drawing in the Mitchell Library, Sydney, bears in pencil the binomial used for this print.  Previously cited as GCS O-61, and so marked in pencil on reverse.",,Climacteris,sp.,
2191,Collurio hardwickii [&] C. erythronotus,ksrl_sc_gould_2191,ksrl_sc_gould_2191.tif,Collurio,hardwickii,,1831-1833,,Collurio hardwickii & C. erythronotus,,EG,EG,EG,EG,HM_1,HM,1,1,12,,,,,,Colored litho print.  See Notes to Gould 2179.,,See Notes to Gould 2179.,,Colored litho print.,,Collurio,erythronotus,
2344,"Colluriocincla brunnea, C. rufoventris, C. harmonica. (eggs)",ksrl_sc_gould_2344,ksrl_sc_gould_2344.tif,Colluriocincla,brunnea,,,,"1. Colluriocincla brunnea.  2, C. rufoventris.  3. C. harmonica. (eggs)",,,,,,,,,,,,,,Unpublished,,"See general Notes at Gould 2296.  Uncolored litho print of 6 eggs. Identical to Gould 2345.  A drawing in the Mitchell Library, Sydney, bears in pencil the binomials used for this print.  Previously cited as GCS O-49, and so marked in pencil on reverse.  Gift of Dr. Gordon C. Sauer.",,See General Notes at Gould 2296.,,"Uncolored litho print of 6 eggs. Identical to Gould 2345.  A drawing in the Mitchell Library, Sydney, bears in pencil the binomials used for this print.  Previously cited as GCS O-49, and so marked in pencil on reverse.",,Colluriocincla,rufoventris,
2345,"Colluriocincla brunnea, C. rufoventris, C. harmonica. (eggs)",ksrl_sc_gould_2345,ksrl_sc_gould_2345.tif,Colluriocincla,brunnea,,,,"1. Colluriocincla brunnea.  2, C. rufoventris.  3. C. harmonica. (eggs)",,,,,,,,,,,,,,Unpublished,,"See general Notes at Gould 2296.  Uncolored litho print of 6 eggs. Identical to Gould 2344.  A drawing in the Mitchell Library, Sydney, bears in pencil the binomials used for this print.  Previously cited as GCS O-50, and so marked in pencil on reverse.  Gift of Dr. Gordon C. Sauer.",,See General Notes at Gould 2296.,,"Uncolored litho print of 6 eggs. Identical to Gould 2344.  A drawing in the Mitchell Library, Sydney, bears in pencil the binomials used for this print.  Previously cited as GCS O-50, and so marked in pencil on reverse.",,Colluriocincla,rufoventris,
1485a,Cereopsis novae-hollandiae,ksrl_sc_gould_1485a,ksrl_sc_gould_1485.tif,Cereopsis,novae-hollandiae,,1847,pencil on paper,Cereopsis novae-hollandiae,,R[?],R[?],G;R,JG;R,AU_1,AU,1,7,1,,,,,,"Overall and detail sketches for Gould 1484, also for Cygnus atratus, Aust  VII: 6; label blank.  These really seem to lack the artistry of Richter.  Reverse: uncolored litho print of Euphemia splendidula.  See general notes at Gould 1287.",These really seem to lack the artistry of Richter.,See General Notes at Gould 1287 and 1410a. See also image on other side.,,"Overall and detail sketches for Cereopsis novae-hollandiae (see Gould 1484), also for Cygnus atratus, Birds of Australia  VII: 6; label blank.",Leaf made up to rectangle by corner addition.,Cygnus,atratus,
1133,Pitta ellioti / Eucichla ellioti,ksrl_sc_gould_1133,ksrl_sc_gould_1133.tif,Pitta,ellioti,,1879-07,,Pitta ellioti / Eucichla ellioti,,H+[?],H+[?],G;H,JG;H,AS_1,AS,1,5,66,,,,,,"Very finished painting of 2 birds, 35 x 27 cm, with another bird, less finished and by a different hand, pinned on; the finely colored drawing at Gould 1119 and the published plate show the two birds in similar positions, but redrawn and with new background.  At the head of the added piece of paper: ""Pitta Elliotii Oust. / Nouvelles Archives du Musee / d'Histoire Naturelle / Bulletin T.X  PL.2""  Reverse: ""30/-"" (Sotheran price).",,"""30/-"" (Sotheran price) on other side",,"Very finished painting of 2 birds, 35 x 27 cm, with another bird, less finished and by a different hand, pinned on; the finely colored drawing at Gould 1119 and the published plate show the two birds in similar positions, but redrawn and with new background.  At the head of the added piece of paper: ""Pitta Elliotii Oust. / Nouvelles Archives du Musee / d'Histoire Naturelle / Bulletin T.X  PL.2""",,Eucichla,ellioti,
1185,Pitta boschii / Eucichla b.,ksrl_sc_gould_1185,ksrl_sc_gould_1185.tif,Pitta,boschii,,1873-03,"watercolor paint, chalk, charcoal, and pastel on paper",Pitta boschii / Eucichla b.,,G,JG,G;H,JG;H,AS_1,AS,1,5,83,PI,1,3,,,"Gould's layout sketch, color added to the 2 birds; as many as 7 other preliminary positional sketches of birds show on the drawing, but the colored ones are followed rather closely in the published plate.  FS.","Gould's layout sketch, color added to the 2 birds",,,"As many as 7 other preliminary positional sketches of birds show on the drawing, but the colored ones are followed rather closely in the published plate.",Full sheet,Eucichla,boschii,
2336C,Eurostopodus guttatus;  E. albogularis.  (eggs),ksrl_sc_gould_2336C,ksrl_sc_gould_2336C.tif,Eurostopodus,guttatus,,,,Eurostopodus guttatus;  E. albogularis.  (eggs),,,,,,,,,,,,,,Unpublished,,"See general Notes at Gould 2296.  Gould 2336A-2336D is an uncolored litho print sheet of 4 plates, folded but uncut.  Gould 2336C shows 2 eggs.  Identical to Gould 2338.  There is a drawing in the Mitchell Library, Sydney, bearing the binomials used for this print.  Previously cited as GCS O-41, and marked in pencil on reverse of each plate, in the form GCS O-41a etc.  Gift of Dr. Gordon C. Sauer.",,See General Notes at Gould 2296.,,"Gould 2336a-2336d  is an uncolored litho print sheet of 4 plates, folded but uncut.  Gould 2336c shows 2 eggs.  Identical to Gould 2338.  There is a drawing in the Mitchell Library, Sydney, bearing the binomials used for this print.  Previously cited as GCS O-41, and marked in pencil on reverse of each plate, in the form GCS O-41a etc.",,Eurostopodus,albogularis,
2338,Eurostopodus guttatus;  E. albogularis.  (eggs),ksrl_sc_gould_2338,ksrl_sc_gould_2338.tif,Eurostopodus,guttatus,,,,Eurostopodus guttatus;  E. albogularis.  (eggs),,,,,,,,,,,,,,Unpublished,,"See general Notes at Gould 2296.  Uncolored litho print of 2 eggs. Identical to Gould 2336C.   A drawing in the Mitchell Library, Sydney, bears in pencil the binomial used for this print.  Previously cited as GCS O-43, and so marked in pencil on reverse.  Gift of Dr. Gordon C. Sauer.",,See General Notes at Gould 2296.,28 x 19cm,"Uncolored litho print of 2 eggs. Identical to Gould 2336c.   A drawing in the Mitchell Library, Sydney, bears in pencil the binomial used for this print.  Previously cited as GCS O-43, and so marked in pencil on reverse.",,Eurostopodus,albogularis,
2210,Fringilla rodopepla [&] F. rhodochroa,ksrl_sc_gould_2210,ksrl_sc_gould_2210.tif,Fringilla,rodopepla,,1831-1833,,Fringilla rodopepla & F. rhodochroa,,EG,EG,EG,EG,HM_1,HM,1,1,31,,,,,,Colored litho print.  Backed with a reversed text leaf of Odontophorus lineolatus.  See Notes to Gould 2179.,,See Notes to Gould 2179. Backed with a reversed text leaf of Odontophorus lineolatus.,,Colored litho print.,,Fringilla,rhodochroa,
2320,"Leracidea occidentalis, I. berigora (eggs)",ksrl_sc_gould_2320,ksrl_sc_gould_2320.tif,Ieracidea,occidentalis,,,,1. Ieracidea occidentalis.  2. I. berigora.  (eggs),,,,,,,,,,,,,,Unpublished,,"See general Notes at Gould 2296.  Colored litho print of 4 eggs, with printed title.  Identical with Gould 2321 except for minor details of hand coloring.  Previously cited as GCS O-25, and so marked in pencil on reverse.  Gift of Dr. Gordon C. Sauer.   An original drawing, unsigned, is in Lord Derby's collection, No. 8 (see Sauer, 1982, p.259).",,See General Notes at Gould 2296.,28 x 19cm,"Colored litho print of 4 eggs, with printed title.  Identical with Gould 2321 except for minor details of hand coloring.  Previously cited as GCS O-25, and so marked in pencil on reverse.   An original drawing, unsigned, is in Lord Derby's collection, No. 8 (see Sauer, 1982, p.259).",,Ieracidea,berigora,
2321,"Leracidea occidentalis, I. berigora (eggs)",ksrl_sc_gould_2321,ksrl_sc_gould_2321.tif,Ieracidea,occidentalis,,,,1. Ieracidea occidentalis.  2. I. berigora.  (eggs),,,,,,,,,,,,,,Unpublished,,"See general Notes at Gould 2296.  Colored litho print of 4 eggs, with printed title.  Identical with Gould 2320 except for minor details of hand coloring.  Previously cited as GCS O-26, and so marked in pencil on reverse.  Gift of Dr. Gordon C. Sauer.   An original drawing, unsigned, is in Lord Derby's collection, No. 8 (see Sauer, 1982, p.259).",,See General Notes at Gould 2296.,28 x 19cm,"Colored litho print of 4 eggs, with printed title.  Identical with Gould 2320 except for minor details of hand coloring.  Previously cited as GCS O-26, and so marked in pencil on reverse.    An original drawing, unsigned, is in Lord Derby's collection, No. 8 (see Sauer, 1982, p.259).",,Ieracidea,berigora,
0597a,Phasianus colchicus (?) and Otis tarda,ksrl_sc_gould_0597a,ksrl_sc_gould_0597.tif,Phasianus,colchicus,,,pencil on paper,Phasianus colchicus (?) and Otis tarda,,,,,,,,,,,,,,,,"Reference or trial sketchesr; 2 of them noted as ""Bustard at the garden in May & June 56""; another is the head of a pheasant; 3 notes on form and color.  Reverse: uncolored litho print of Nanodes undulatus.  FS.",,See also image on other side.,,"Reference or trial sketches; 2 of them noted as ""Bustard at the garden in May & June 56""; another is the head of a pheasant; 3 notes on form and color.",Full sheet,Otis,tarda,
1744,Paradisea papuana / Paradisea minor,ksrl_sc_gould_1744,ksrl_sc_gould_1744.tif,Paradisea,papuana,,1879,pencil on paper,Paradisea papuana / Paradisea minor,tissue,H,H,G;H,JG;H,NG_1,NG,1,1,28,PA,1,25,,,Tracing on tissue: graphited on reverse.  Reversed on the stone.  In the Parad plate the printer is changed from Walter to Mintern Bros.,,Graphited on other side.,,Tracing on tissue.  Reversed on the stone.  In the Sharpe's Birds of Paradise plate the printer is changed from Walter to Mintern Bros.,,Paradisea,minor,
2208,Parus xanthogenys [&] P. monticolus,ksrl_sc_gould_2208,ksrl_sc_gould_2208.tif,Parus,xanthogenys,,1831-1833,,Parus xanthogenys & P. monticolus,,EG,EG,EG,EG,HM_1,HM,1,1,29,,,,,,"Colored litho print.   Above lower bird ""Back rather too heavy.""  At top right corner ""Pattern"" in ink.  Backed with a reversed text leaf of Odontophorus lineolatus.  See Notes to Gould 2179.",,See Notes to Gould 2179. Backed with a reversed text leaf of Odontophorus lineolatus.,,"Colored litho print.  Above lower bird ""Back rather too heavy.""  At top right corner ""Pattern"" in ink.",,Parus,monticolus,
2209,Parus erythrocephalus [&] P. melanolophus,ksrl_sc_gould_2209,ksrl_sc_gould_2209.tif,Parus,erythrocephalus,,1831-1833,,Parus erythrocephalus & P. melanolophus,,EG,EG,EG,EG,HM_1,HM,1,1,30,,,,,,Colored litho print.  Backed with a reversed text leaf of Odontophorus lineolatus.  See Notes to Gould 2179.,,See Notes to Gould 2179. Backed with a reversed text leaf of Odontophorus lineolatus.,,Colored litho print.,,Parus,melanolophus,
1657,Parus ater & Parus palustris,ksrl_sc_gould_1657,ksrl_sc_gould_1657.tif,Parus,ater,,1832-1837,pencil on paper,Parus ater & Parus palustris,tissue,EG,EG,JG;EG,JG;EG,EU_1,EU,1,3,155,,,,,,"Tracing on tissue; reverse graphited.  The page is complete with the Goulds' signature in the drawing, and carefully lettered artist, title, and printer cutlines.  Reversed on the stone.",,Graphited on the other side.,,"Tracing on tissue.  The page is complete with the Goulds' signature in the drawing, and carefully lettered artist, title, and printer cutlines.  Reversed on the stone.",,Parus,palustris,
899,Phaethornis nigrocinctus & Phaethornis episcopus,ksrl_sc_gould_0899,ksrl_sc_gould_0899.tif,Phaethornis,nigrocinctus,,1859,pencil and watercolor paint on paper,Phaethornis nigrocinctus & Phaethornis episcopus,,R,R,G;R,JG;R,HB_1,HB,1,1,39,,,,,"""Large letter"" variation in the two drawings.","Layout drawing, color added, birds not highly finished; 2 birds of each species are arranged as separate compositions, both in this drawing and in the published plate.  P. nigrocinctus: 3 notes on form, one on color; ""G.N. Lawrence"" (refers to the loan source of one of the birds--see text); ""G-"".  P. episcopus: 3 notes on form, one on color; ""G*"".  49 x 31cm.",,,49 x 31cm,"Layout drawing, color added, birds not highly finished; 2 birds of each species are arranged as separate compositions, both in this drawing and in the published plate.  Phaethornis nigrocinctus: 3 notes on form, one on color; ""G.N. Lawrence"" (refers to the loan source of one of the birds--see text); ""G-"". Phaethornis episcopus: 3 notes on form, one on color; ""G*"".",,Phaethornis,episcopus,
2205,Phoenicura frontalis [&] P. leucocephala,ksrl_sc_gould_2205,ksrl_sc_gould_2205.tif,Phoenicura,frontalis,,1831-1833,,Phoenicura frontalis & P. leucocephala,,EG,EG,EG,EG,HM_1,HM,1,1,26,,,,,,"Colored litho print. Small, apparently non-relevant sketch or doodle in top left corner.   At top right corner ""Pattern"" in ink.  Backed with a reversed text leaf of Odontophorus pacyrhynchus.  See Notes to Gould 2179.",,See Notes to Gould 2179. Backed with a reversed text leaf of Odontophorus pacyrhynchus.,,"Colored litho print. Small, apparently non-relevant sketch or doodle in top left corner.   At top right corner ""Pattern"" in ink.",,Phoenicura,leucocephala,
2318,"Pomatorhinus superciliosus, P. temporalis  (eggs)",ksrl_sc_gould_2318,ksrl_sc_gould_2318.tif,Pomatorhinus,superciliosus,,,,1. Pomatorhinus superciliosus.  2.  P. temporalis.    (eggs),,,,,,,,,,,,,,Unpublished,,"See general Notes at Gould 2296.  Colored litho print of 4 small eggs, with printed title.  Identical with Gould 2319 except for minor details of hand coloring.  Previously cited as GCS O-23, and so marked in pencil on reverse.  Gift of Dr. Gordon C. Sauer.   An original drawing, unsigned, is in Lord Derby's collection, No. 10 (see Sauer, 1982, p.259).",,See General Notes at Gould 2296.,28 x 19cm,"Colored litho print of 4 small eggs, with printed title.  Identical with Gould 2319 except for minor details of hand coloring.  Previously cited as GCS O-23, and so marked in pencil on reverse.    An original drawing, unsigned, is in Lord Derby's collection, No. 10 (see Sauer, 1982, p.259).",,Pomatorhinus,temporalis,
2319,"Pomatorhinus superciliosus, P. temporalis  (eggs)",ksrl_sc_gould_2319,ksrl_sc_gould_2319.tif,Pomatorhinus,superciliosus,,,,1. Pomatorhinus superciliosus.  2.  P. temporalis.    (eggs),,,,,,,,,,,,,,Unpublished,,"See general Notes at Gould 2296.  Colored litho print of 4 small eggs, with printed title.  Identical with Gould 2318 except for minor details of hand coloring.  Previously cited as GCS O-24, and so marked in pencil on reverse.  Gift of Dr. Gordon C. Sauer.   An original drawing, unsigned, is in Lord Derby's collection, No. 10 (see Sauer, 1982, p.259).",,See General Notes at Gould 2296.,28 x 19cm,"Colored litho print of 4 small eggs, with printed title.  IIdentical with Gould 2318 except for minor details of hand coloring.  Previously cited as GCS O-24, and so marked in pencil on reverse.  An original drawing, unsigned, is in Lord Derby's collection, No. 10 (see Sauer, 1982, p.259).",,Pomatorhinus,temporalis,
1481b,Euphema aurantia,ksrl_sc_gould_1481b,ksrl_sc_gould_1481v.tif,Euphema,aurantia,,,,Euphema aurantia,,,,,,,,,,,,,,,,"Birds fairly well drawn, with a good deal of emphasis and detailing by Gould.  Sheet has been cut in half, separating the two birds, and taped together again.  In the drawing the birds are both turned toward center line; in the published plate one has been reversed so that they both face in the same direction.  Reverse: uncolored litho print of  Euphema aurantia; rough pencil outline of one of the P. melanotus.  See general notes at Gould 1287.",,See General Notes at Gould 1287 and 1410a. See also image on other side.,,Uncolored litho print of  Euphema aurantia; rough pencil outline of one of the Porphyrio melanotus in 1481a.,"Leaf made up to rectangle by corner additions; leaf was torn in half, separating the two birds, and taped together again on this side.",Porphyrio,melanotus,
1675,Pyrgita hispanoliensis,ksrl_sc_gould_1675,ksrl_sc_gould_1675.tif,Pyrgita,hispanoliensis,Spanish sparrow & Pyrgita cisalpina--Alpine sparrow,1832-1837,pencil on paper,Pyrgita hispanoliensis,tissue,EG,EG,JG;EG,JG;EG,EU_1,EU,1,3,185,,,,,,"Tracing on tissue; reverse graphited.  The page is complete with carefully lettered artist, title, and printer cutlines.  Reversed on the stone.",,Graphited on the other side.,,"Tracing on tissue.  The page is complete with   carefully lettered artist, title, and printer cutlines.   Reversed on the stone.",,Pyrgita,cisalpina,
951,Ramphastos carinatus; R. brevicarinatus,ksrl_sc_gould_0951,ksrl_sc_gould_0951.tif,Ramphastos,carinatus,,,pencil and watercolor paint on paper,Ramphastos carinatus; R. brevicarinatus,,,,G;R,JG;R,RA_2,RA,2,1,"2,3",,,,,,"Reference painting (of no distinction).  Heads of both birds cited, with notes on color, size and source.  FS.",,,,"Reference painting (of no distinction).  Heads of both birds cited, with notes on color, size and source.",Full sheet,Ramphastos,brevicarinatus,
295,Rhamphastos ariel and toco,ksrl_sc_gould_0295,ksrl_sc_gould_0295.tif,Rhamphastos,ariel,,,pencil and watercolor paint on paper,Rhamphastos ariel and toco,,R,R,G;R,JG;R,RA_2,RA,2,1,"1,12",,,,,,"Reference drawing, not intended as layout model.  Paper, ca. 11 x 16cm, probably a leaf from a pocket sketchbook, with two color sketches of heads and a pencil sketch of the setting of an eye; 4 color notes.",,,"11 x 16cm,","Reference drawing, not intended as layout model.  Paper,  probably a leaf from a pocket sketchbook, with two color sketches of heads and a pencil sketch of the setting of an eye; 4 color notes.",,Rhamphastos,toco,
